==============================================================================================================
STEP 2 — full field dump for one representative (Zantarin) so we can see the shape
==============================================================================================================
owners=['base', 'gdx1', 'gdx2', 'sm_mod']  fields=1007
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race004
     characterRunSpeed                              = 1.0499999523162842
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     defensiveLife                                  = 20.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 10
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.600000023841858
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel15                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1
     weaponScale                                    = 2.0

-- records/creatures/enemies/nemesis/nemesis_kymon_01.dbr  owners=['gdx3', 'sm3']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race009
     characterRunSpeed                              = 1.100000023841858
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 60
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.350000023841858
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = (charLevel/4)+1
     skillLevel11                                   = (charLevel/4)+1
     skillLevel12                                   = (charLevel/4)+1
     skillLevel13                                   = (charLevel/4)+1
     skillLevel14                                   = (charLevel/4)+1
     skillLevel15                                   = (charLevel/4)+1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = 1
     skillLevel6                                    = (charLevel/4)+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = (charLevel/4)+1
     skillLevel9                                    = (charLevel/4)+1

-- records/creatures/enemies/nemesis/nemesis_kymon_02.dbr  owners=['base', 'gdx1', 'gdx2', 'sm_mod']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = charLevel*1
     characterAttackSpeed                           = 1.100000023841858
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Female
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race009
     characterRunSpeed                              = 1.100000023841858
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.100000023841858
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.2000000476837158
     skillLevel1                                    = (charLevel/25)+2
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel15                                   = charLevel/4+1
     skillLevel16                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr  owners=['base', 'gdx1', 'gdx2', 'sm_mod']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = charLevel*1
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race001
     characterRunSpeed                              = 1.2999999523162842
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     defensiveLife                                  = 50.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.2000000476837158
     skillLevel1                                    = (charLevel/25)+2
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel15                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr  owners=['gdx3', 'sm3']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Female
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race009
     characterRunSpeed                              = 1.0
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     defensiveLife                                  = 20.0
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 60
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.350000023841858
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = (charLevel/4)+1
     skillLevel11                                   = (charLevel/4)+1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = 1
     skillLevel6                                    = (charLevel/4)+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = (charLevel/4)+1
     skillLevel9                                    = (charLevel/4)+1

-- records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr  owners=['base', 'gdx1', 'gdx2', 'sm_mod']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = charLevel*1
     characterAttackSpeed                           = 1.1299999952316284
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race009
     characterRunSpeed                              = 1.100000023841858
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     defensiveLife                                  = 20.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.2000000476837158
     skillLevel1                                    = (charLevel/25)+2
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel15                                   = charLevel/4+1
     skillLevel16                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr  owners=['gdx3', 'sm3']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race009
     characterRunSpeed                              = 1.0
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     lifeTime                                       = 0
     lowHealthTriggerLevel                          = 66.0
     maxLevel                                       = 250
     minLevel                                       = 60
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.4800000190734863
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_undead_01.dbr  owners=['gdx3', 'sm3']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 100.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race001
     characterRunSpeed                              = 1.0
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 60
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.2999999523162842
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_undead_02b.dbr  owners=['base', 'gdx1', 'gdx2', 'sm_mod']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1)
     characterAttackSpeed                           = 1.149999976158142
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race001
     characterRunSpeed                              = 1.5199999809265137
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.149999976158142
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     defensiveLife                                  = 50.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.5
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = 1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = 1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr  owners=['gdx1', 'gdx2', 'sm1']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterConstitution                          = 0.0
     characterConstitutionModifier                  = 0.0
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = ['Race001', 'Race012']
     characterRunSpeed                              = 1.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     healthGainOnKillPct                            = 33
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 10
     monsterClassification                          = Boss
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.399999976158142
     skillLevel1                                    = (charLevel/23)+7
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel14                                   = charLevel/4+1
     skillLevel15                                   = charLevel/4+1
     skillLevel16                                   = 1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 5
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = charLevel/4+1
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr  owners=['gdx3', 'sm3']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = (charLevel*1.1)+2
     characterAttackSpeed                           = 1.0
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_nemesis_01.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race001
     characterRunSpeed                              = 1.0
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.0
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     healthGainOnKillDifficulty                     = 1
     healthGainOnKillPct                            = 20
